gene	chromosome	arm
ENSG00000309958	8	p
ENSG00000309968	8	p
ENSG00000309969	8	q
ENSG00000310114	8	q
ENSG00000310150	8	q
ENSG00000310171	8	q
ENSG00000310184	8	p
ENSG00000310188	8	q
ENSG00000310189	8	q
ENSG00000253452	8	p
ENSG00000310210	8	q
ENSG00000253524	8	p
ENSG00000254394	8	q
ENSG00000254123	8	q
LINC02839	8	q
ENSG00000310318	8	q
ENSG00000253320	8	q
MAILR	8	q
ENSG00000283157	8	q
ENSG00000310350	8	p
ENSG00000253898	8	q
LINC01419	8	q
ENSG00000310361	8	q
ENSG00000310367	8	q
ENSG00000310378	8	q
ENSG00000310385	8	q
ENSG00000310398	8	q
ENSG00000310411	8	q
ENSG00000310415	8	q
ENSG00000310521	8	q
ENSG00000244642	8	q
RN7SL396P	8	q
ENSG00000245330	8	q
DEPTOR-AS1	8	q
ENSG00000202356	8	q
RNA5SP277	8	q
ENSG00000254343	8	q
ENSG00000305179	8	q
ENSG00000295189	8	p
ENSG00000295206	8	p
ENSG00000307912	8	p
ENSG00000305633	8	p
ENSG00000285881	8	p
ENSG00000309144	8	p
ENSG00000208037	8	p
MIR320A	8	p
ENSG00000254064	8	p
PIWIL2-DT	8	p
ENSG00000297857	8	p
ENSG00000308783	8	q
ENSG00000308759	8	q
ENSG00000254337	8	q
ENSG00000253658	8	q
LINC01592	8	q
ENSG00000238808	8	q
RNU7-102P	8	q
ENSG00000254332	8	q
TPM4P3	8	q
ENSG00000253373	8	q
ENSG00000304212	8	q
ENSG00000303306	8	q
ENSG00000303289	8	q
ENSG00000252358	8	q
RN7SKP135	8	q
ENSG00000287844	8	q
ENSG00000253734	8	q
LINC01289	8	q
ENSG00000250031	8	q
PTPN11P2	8	q
ENSG00000254103	8	q
PPIAP85	8	q
ENSG00000302127	8	q
ENSG00000242970	8	q
ENSG00000295184	8	q
ENSG00000201231	8	q
RNU4-50P	8	q
ENSG00000300073	8	q
ENSG00000254208	8	q
ENSG00000258256	8	q
ENSG00000293624	8	p
ENSG00000253620	8	p
ENSG00000292979	8	p
ENSG00000254069	8	cen
ENSG00000303939	8	cen
ENSG00000224594	8	q
RPL29P19	8	q
ENSG00000299897	8	q
ENSG00000248347	8	cen
ENSG00000308706	8	cen
ENSG00000251470	8	cen
ASNSP4	8	cen
ENSG00000302462	8	cen
ENSG00000250979	8	q
TRPA2P	8	q
ENSG00000304447	8	q
ENSG00000253413	8	q
ENSG00000303742	8	q
ENSG00000271612	8	q
HSPE1P14	8	q
ENSG00000253781	8	q
ZNF317P1	8	q
ENSG00000304526	8	q
ENSG00000251142	8	q
ENSG00000253301	8	q
LINC01606	8	q
ENSG00000253723	8	q
ENSG00000298348	8	q
ENSG00000253499	8	q
ENSG00000301177	8	q
ENSG00000227514	8	q
ENSG00000295875	8	q
ENSG00000255033	8	q
SERPINA15P	8	q
ENSG00000253434	8	q
LINC02237	8	q
ENSG00000253541	8	q
SEPTIN10P1	8	q
ENSG00000298588	8	q
ENSG00000253923	8	q
ENSG00000306471	8	q
ENSG00000227203	8	p
SUB1P1	8	p
ENSG00000242399	8	q
RPS20P23	8	q
ENSG00000306981	8	q
ENSG00000249316	8	p
ENSG00000254948	8	p
OR7E158P	8	p
ENSG00000250794	8	p
ALG1L12P	8	p
ENSG00000233170	8	p
ENSG00000183154	8	p
ENSG00000248585	8	p
ENSG00000234120	8	p
ENSG00000230106	8	p
SNRPCP15	8	p
ENSG00000231930	8	p
ENSG00000284614	8	p
ENSG00000284728	8	p
ENSG00000285659	8	p
ENSG00000284617	8	p
ENSG00000284655	8	p
ENSG00000284698	8	p
ENSG00000253175	8	q
ENSG00000254283	8	q
ENSG00000253704	8	q
VIRMA-DT	8	q
ENSG00000291308	8	q
ENSG00000305146	8	q
ENSG00000232039	8	p
DEFT1P2	8	p
ENSG00000253237	8	q
ENSG00000305250	8	q
ENSG00000253760	8	q
ENSG00000294977	8	q
ENSG00000255459	8	p
ENSG00000254776	8	p
PRR23D3P	8	p
ENSG00000255457	8	p
ENSG00000299427	8	p
ENSG00000242296	8	p
DEFB109A	8	p
ENSG00000254527	8	p
ENPP7P12	8	p
ENSG00000255052	8	p
FAM66D	8	p
ENSG00000249889	8	p
ALG1L11P	8	p
ENSG00000255122	8	p
ENSG00000254917	8	p
OR7E15P	8	p
ENSG00000301987	8	p
ENSG00000242709	8	p
RPL30P9	8	p
ENSG00000301327	8	p
ENSG00000253214	8	q
ENSG00000253853	8	p
ENSG00000253982	8	p
CLN8-AS1	8	p
ENSG00000246145	8	q
RRS1-DT	8	q
ENSG00000253799	8	q
LINC01030	8	q
ENSG00000289095	8	q
ENSG00000253577	8	q
TRIQK-AS1	8	q
ENSG00000227888	8	p
FAM66A	8	p
ENSG00000250295	8	q
RDH10-AS1	8	q
ENSG00000246430	8	q
LINC00968	8	q
ENSG00000254288	8	q
ENSG00000228801	8	q
PCMTD1-DT	8	q
ENSG00000253433	8	q
ENSG00000286984	8	q
ENSG00000253377	8	p
ENSG00000288782	8	p
ENSG00000253773	8	q
CFAP418-AS1	8	q
ENSG00000253161	8	p
LINC01605	8	p
ENSG00000253819	8	q
LINC01151	8	q
ENSG00000253944	8	p
MTUS1-DT	8	p
ENSG00000246662	8	q
CIBAR1-DT	8	q
ENSG00000253778	8	q
CNGB3-AS1	8	q
ENSG00000253832	8	p
ENSG00000282142	8	p
ENSG00000288761	8	q
ENSG00000253374	8	q
ENSG00000237807	8	q
LINC02984	8	q
ENSG00000229140	8	q
CCDC26	8	q
ENSG00000245281	8	p
ASAH1-AS1	8	p
ENSG00000289473	8	p
ENSG00000253535	8	p
ADAM7-AS1	8	p
ENSG00000300853	8	p
ENSG00000301764	8	p
ENSG00000253875	8	p
ENSG00000289225	8	p
ENSG00000249258	8	p
ENSG00000298219	8	p
ENSG00000289145	8	p
ENSG00000286010	8	q
ENSG00000249375	8	q
CASC11	8	q
ENSG00000308490	8	q
ENSG00000310067	8	q
ENSG00000309986	8	q
ENSG00000310100	8	q
ENSG00000309955	8	q
ENSG00000310127	8	q
ENSG00000310028	8	q
ENSG00000249859	8	q
PVT1	8	q
ENSG00000221261	8	q
MIR1208	8	q
ENSG00000201782	8	q
RN7SKP226	8	q
ENSG00000286034	8	q
ENSG00000309019	8	p
ENSG00000271938	8	p
ENSG00000289603	8	p
ENSG00000261449	8	p
ENSG00000304994	8	p
ENSG00000305013	8	p
ENSG00000253408	8	p
IKBKB-DT	8	p
ENSG00000288677	8	p
HRURF	8	p
ENSG00000254080	8	q
LINC03071	8	q
ENSG00000253706	8	q
ENSG00000309394	8	q
ENSG00000303738	8	q
ENSG00000303197	8	q
ENSG00000299497	8	q
ENSG00000253716	8	q
MINCR	8	q
ENSG00000294075	8	q
ENSG00000287576	8	q
ENSG00000254859	8	q
ENSG00000289161	8	q
ENSG00000254812	8	q
ENSG00000212221	8	q
RNU6-220P	8	q
ENSG00000254389	8	q
RHPN1-AS1	8	q
ENSG00000254338	8	q
MAFA-AS1	8	q
ENSG00000296433	8	p
ENSG00000301380	8	p
ENSG00000301357	8	p
ENSG00000229907	8	p
DEFB108A	8	p
ENSG00000225725	8	p
FAM66E	8	p
ENSG00000205989	8	p
DEFB109C	8	p
ENSG00000307173	8	q
ENSG00000296656	8	q
ENSG00000279847	8	q
LINC02906	8	q
ENSG00000254089	8	q
ENSG00000268080	8	q
ENSG00000254349	8	q
MIR2052HG	8	q
ENSG00000287781	8	q
ENSG00000309748	8	q
ENSG00000280997	8	q
CCAT2	8	q
ENSG00000295118	8	p
ENSG00000307812	8	p
ENSG00000306753	8	p
ENSG00000309805	8	p
ENSG00000289521	8	p
ENSG00000302282	8	p
ENSG00000201761	8	p
RNU6-336P	8	p
ENSG00000251034	8	p
ENSG00000254272	8	p
BTF3P3	8	p
ENSG00000287467	8	p
ENSG00000254230	8	p
ENSG00000248235	8	p
ENSG00000253200	8	p
ENSG00000261026	8	p
ENSG00000253125	8	p
EGR3-AS1	8	p
ENSG00000287812	8	p
ENSG00000309630	8	p
ENSG00000309647	8	p
ENSG00000253690	8	p
ENSG00000253567	8	p
FBXO16-AS1	8	p
ENSG00000297945	8	p
ENSG00000253361	8	p
ENSG00000298498	8	p
ENSG00000298531	8	p
ENSG00000296158	8	p
ENSG00000289104	8	p
ENSG00000254321	8	p
ENSG00000253829	8	p
ENSG00000301336	8	p
ENSG00000307990	8	p
ENSG00000240015	8	p
ENSG00000253356	8	p
ENSG00000285632	8	p
ENSG00000255487	8	p
ENSG00000254898	8	p
ENSG00000294778	8	p
ENSG00000305763	8	p
ENSG00000301812	8	q
ENSG00000290028	8	q
ENSG00000299387	8	q
ENSG00000299367	8	q
ENSG00000299405	8	q
ENSG00000302029	8	q
ENSG00000253330	8	q
ENSG00000269924	8	q
ENSG00000251354	8	q
ENSG00000254065	8	q
ENSG00000251127	8	q
ENSG00000288596	8	q
C8orf44	8	q
ENSG00000245910	8	q
SNHG6	8	q
ENSG00000306789	8	q
ENSG00000300722	8	q
ENSG00000296498	8	q
ENSG00000298183	8	q
ENSG00000302579	8	q
ENSG00000183663	8	q
GAPDHP30	8	q
ENSG00000271349	8	q
ENSG00000270131	8	q
ENSG00000254224	8	q
UQCRB-AS1	8	q
ENSG00000199732	8	q
ENSG00000253105	8	q
ENSG00000202095	8	q
RNU6-1172P	8	q
ENSG00000309745	8	q
ENSG00000308850	8	q
ENSG00000308833	8	q
ENSG00000252297	8	q
RNU6-875P	8	q
ENSG00000283172	8	q
MIR548D1	8	q
ENSG00000207704	8	q
MIR548AA1	8	q
ENSG00000254388	8	q
DUTP2	8	q
ENSG00000254294	8	q
IMPDH1P6	8	q
ENSG00000278374	8	q
U4	8	q
ENSG00000254113	8	q
ENSG00000251840	8	q
RN7SKP155	8	q
ENSG00000253286	8	q
ENSG00000253549	8	q
CA3-AS1	8	q
ENSG00000254380	8	q
ENSG00000253680	8	q
ENSG00000270971	8	q
REXO1L8P	8	q
ENSG00000273567	8	q
REXO1L3P	8	q
ENSG00000293000	8	q
ENSG00000205176	8	q
REXO1L1P	8	q
ENSG00000276006	8	q
REXO1L12P	8	q
ENSG00000275928	8	q
REXO1L11P	8	q
ENSG00000276540	8	q
REXO1L10P	8	q
ENSG00000271381	8	q
REXO1L9P	8	q
ENSG00000276998	8	q
REXO1L2P	8	q
ENSG00000274343	8	q
ENSG00000270416	8	q
REXO1L4P	8	q
ENSG00000277436	8	q
REXO1L5P	8	q
ENSG00000293002	8	q
ENSG00000277422	8	q
REXO1L6P	8	q
ENSG00000285768	8	q
LINC02849	8	q
ENSG00000285657	8	p
FAM90A19	8	p
ENSG00000285950	8	p
FAM90A10	8	p
ENSG00000232600	8	q
TONSL-AS1	8	q
ENSG00000254578	8	q
ENSG00000255182	8	q
ENSG00000265393	8	q
ENSG00000255456	8	q
ENSG00000301017	8	q
ENSG00000290885	8	q
ENSG00000301063	8	q
ENSG00000294503	8	q
ENSG00000310152	8	q
ENSG00000299521	8	q
ENSG00000291080	8	q
ENSG00000255164	8	q
ENSG00000255559	8	q
ZNF252P-AS1	8	q
ENSG00000255000	8	q
ENSG00000291316	8	q
TMEM276-ZFTRAF1	8	q
ENSG00000290829	8	p
ENSG00000305407	8	p
ENSG00000310499	8	p
ENSG00000237215	8	p
DEFB131D	8	p
ENSG00000232948	8	p
DEFB130A	8	p
ENSG00000215339	8	p
ZNF705CP	8	p
ENSG00000297187	8	p
ENSG00000310345	8	p
ENSG00000307394	8	p
ENSG00000300616	8	p
ENSG00000300638	8	p
ENSG00000300597	8	p
ENSG00000295932	8	p
ENSG00000295941	8	p
ENSG00000295989	8	p
ENSG00000295950	8	p
ENSG00000295971	8	p
ENSG00000290357	8	p
ENSG00000299322	8	p
ENSG00000215374	8	p
FAM66B	8	p
ENSG00000297353	8	p
ENSG00000297332	8	p
ENSG00000308628	8	p
ENSG00000287747	8	p
ENSG00000245857	8	p
GS1-24F4.2	8	p
ENSG00000250752	8	p
RPL23AP96	8	p
ENSG00000254625	8	p
ENSG00000223629	8	p
DEFA8P	8	p
ENSG00000233238	8	p
DEFA9P	8	p
ENSG00000233531	8	p
DEFA10P	8	p
ENSG00000215378	8	p
DEFT1P	8	p
ENSG00000230045	8	p
FAM90A15	8	p
ENSG00000233132	8	p
FAM90A3	8	p
ENSG00000235778	8	p
ENSG00000215371	8	p
DEFB108C	8	p
ENSG00000302098	8	q
ENSG00000288752	8	q
ENSG00000295593	8	q
ENSG00000301159	8	q
ENSG00000202399	8	q
ENSG00000270682	8	q
ENSG00000270861	8	q
TMEM69P1	8	q
ENSG00000253639	8	q
SUMO2P18	8	q
ENSG00000243504	8	q
RPS23P1	8	q
ENSG00000245970	8	q
RPL30-AS1	8	q
ENSG00000207067	8	q
ENSG00000252755	8	q
RNU6-703P	8	q
ENSG00000252558	8	q
RNU6-914P	8	q
ENSG00000284606	8	p
ENSG00000253893	8	p
FAM85B	8	p
ENSG00000249188	8	p
ENPP7P1	8	p
ENSG00000291049	8	p
FAM86B3P	8	p
ENSG00000173295	8	p
ENSG00000307010	8	p
ENSG00000306106	8	p
ENSG00000299020	8	p
ENSG00000305749	8	p
ENSG00000289622	8	p
ENSG00000299740	8	p
ENSG00000293372	8	p
ENSG00000298127	8	p
ENSG00000295900	8	p
ENSG00000306870	8	p
ENSG00000298955	8	p
ENSG00000293865	8	p
ENSG00000297618	8	p
ENSG00000297635	8	p
ENSG00000309875	8	p
ENSG00000309891	8	p
ENSG00000309740	8	p
ENSG00000309827	8	p
ENSG00000309843	8	p
ENSG00000309861	8	p
ENSG00000309908	8	p
ENSG00000297206	8	p
ENSG00000304818	8	p
ENSG00000306912	8	p
ENSG00000306911	8	p
ENSG00000306950	8	p
ENSG00000306935	8	p
ENSG00000296222	8	p
ENSG00000236827	8	p
LINC00529	8	p
ENSG00000246477	8	p
MTMR9-AS1	8	p
ENSG00000255020	8	p
TDH-AS1	8	p
ENSG00000184608	8	p
FAM167A-AS1	8	p
ENSG00000269954	8	p
BLK-AS1	8	p
ENSG00000302682	8	p
ENSG00000300442	8	p
ENSG00000304791	8	p
ENSG00000286985	8	p
ENSG00000308357	8	p
ENSG00000307192	8	p
ENSG00000255046	8	p
ENSG00000301305	8	p
ENSG00000305386	8	p
ENSG00000308428	8	p
ENSG00000253397	8	p
ENSG00000253881	8	p
VPS51P16	8	p
ENSG00000244427	8	p
RPS3AP31	8	p
ENSG00000254311	8	p
SNRPCP17	8	p
ENSG00000253981	8	p
ALG1L13P	8	p
ENSG00000253505	8	p
LINC02949	8	p
ENSG00000254153	8	p
LINC02950	8	p
ENSG00000253130	8	p
ENSG00000253343	8	p
ENSG00000263616	8	p
RN7SL178P	8	p
ENSG00000254367	8	p
ENSG00000286910	8	p
ENSG00000284717	8	p
ENSG00000200713	8	p
RNU6-682P	8	p
ENSG00000270966	8	p
ENSG00000207244	8	p
ENSG00000233609	8	p
RPL10P19	8	p
ENSG00000263407	8	p
MIR4660	8	p
ENSG00000239078	8	p
RNU7-55P	8	p
ENSG00000197334	8	p
ENSG00000254340	8	p
PPP1R3B-AS1	8	p
ENSG00000248538	8	p
PPP1R3B-DT	8	p
ENSG00000253252	8	p
ENSG00000253887	8	p
ENSG00000254091	8	p
ENSG00000207415	8	p
RNU6-1151P	8	p
ENSG00000254237	8	p
ENSG00000201815	8	p
RNU6-526P	8	p
ENSG00000249050	8	p
ENSG00000253697	8	p
ENSG00000207701	8	p
MIR597	8	p
ENSG00000253230	8	p
MIR124-1HG	8	p
ENSG00000284321	8	p
MIR124-1	8	p
ENSG00000260093	8	p
MSRA-DT	8	p
ENSG00000285675	8	p
ENSG00000285606	8	p
ENSG00000249848	8	p
ENSG00000253678	8	p
ENSG00000261451	8	p
ENSG00000253641	8	p
LINC03022	8	p
ENSG00000285237	8	p
PRSS52P	8	p
ENSG00000207128	8	p
RNU6-729P	8	p
ENSG00000253649	8	p
PRSS51	8	p
ENSG00000272505	8	p
ENSG00000183638	8	p
RP1L1	8	p
ENSG00000263762	8	p
MIR4286	8	p
ENSG00000212433	8	p
RNA5SP252	8	p
ENSG00000258724	8	p
PINX1	8	p
ENSG00000248896	8	p
SOX7-AS1	8	p
ENSG00000283210	8	p
MIR1322	8	p
ENSG00000253695	8	p
PINX1-DT	8	p
ENSG00000280294	8	p
ENSG00000207600	8	p
MIR598	8	p
ENSG00000254839	8	p
ENSG00000269918	8	p
ENSG00000255310	8	p
ENSG00000254936	8	p
ENSG00000254556	8	p
ENSG00000231965	8	p
RPL17P29	8	p
ENSG00000270076	8	p
ENSG00000255544	8	p
DEFB108D	8	p
ENSG00000302437	8	p
ENSG00000309971	8	p
ENSG00000307022	8	p
ENSG00000310308	8	p
ENSG00000222267	8	p
RNU6-892P	8	p
ENSG00000310650	8	p
ENSG00000253733	8	p
LZTS1-AS1	8	p
ENSG00000274467	8	p
RNA5SP257	8	p
ENSG00000253164	8	p
ENSG00000253420	8	q
ENSG00000297690	8	q
ENSG00000251003	8	q
ZFPM2-AS1	8	q
ENSG00000253573	8	q
ENSG00000254166	8	q
CASC19	8	q
ENSG00000246228	8	q
CASC8	8	q
ENSG00000286266	8	q
ENSG00000288756	8	q
ENSG00000266712	8	q
MIR3149	8	q
ENSG00000253952	8	q
HIGD1AP18	8	q
ENSG00000254193	8	p
ENSG00000253612	8	p
WBP1LP3	8	p
ENSG00000176269	8	p
OR4F21	8	p
ENSG00000255464	8	p
SEPTIN14P8	8	p
ENSG00000253166	8	p
ENSG00000223508	8	p
RPL23AP53	8	p
ENSG00000288985	8	p
ENSG00000273402	8	p
ENSG00000304796	8	p
ENSG00000297000	8	p
ENSG00000294163	8	p
ENSG00000298910	8	p
ENSG00000182366	8	p
FAM87A	8	p
ENSG00000272293	8	p
ENSG00000134028	8	p
ADAMDEC1	8	p
ENSG00000235173	8	q
HGH1	8	q
ENSG00000164695	8	q
CHMP4C	8	q
ENSG00000283992	8	q
SLURP2	8	q
ENSG00000299787	8	q
ENSG00000295724	8	q
ENSG00000303374	8	q
ENSG00000308533	8	q
ENSG00000253958	8	p
CLDN23	8	p
ENSG00000221869	8	q
CEBPD	8	q
ENSG00000168522	8	p
FNTA	8	p
ENSG00000164741	8	p
DLC1	8	p
ENSG00000157168	8	p
NRG1	8	p
ENSG00000204882	8	q
GPR20	8	q
ENSG00000042832	8	q
TG	8	q
ENSG00000240694	8	p
PNMA2	8	p
ENSG00000132541	8	q
RIDA	8	q
ENSG00000188676	8	p
IDO2	8	p
ENSG00000154328	8	p
NEIL2	8	p
ENSG00000171056	8	p
SOX7	8	p
ENSG00000171060	8	p
C8orf74	8	p
ENSG00000179091	8	q
CYC1	8	q
ENSG00000120925	8	p
RNF170	8	p
ENSG00000132561	8	q
MATN2	8	q
ENSG00000083307	8	q
GRHL2	8	q
ENSG00000178860	8	q
MSC	8	q
ENSG00000137574	8	q
TGS1	8	q
ENSG00000214814	8	q
FER1L6	8	q
ENSG00000156735	8	p
BAG4	8	p
ENSG00000147485	8	q
PXDNL	8	q
ENSG00000169490	8	p
TM2D2	8	p
ENSG00000008853	8	p
RHOBTB2	8	p
ENSG00000172172	8	q
MRPL13	8	q
ENSG00000291317	8	q
TMEM276	8	q
ENSG00000104660	8	p
LEPROTL1	8	p
ENSG00000164924	8	q
YWHAZ	8	q
ENSG00000147443	8	p
DOK2	8	p
ENSG00000104331	8	q
BPNT2	8	q
ENSG00000120899	8	p
PTK2B	8	p
ENSG00000277586	8	p
NEFL	8	p
ENSG00000183117	8	p
CSMD1	8	p
ENSG00000164794	8	q
KCNV1	8	q
ENSG00000121022	8	q
COPS5	8	q
ENSG00000120875	8	p
DUSP4	8	p
ENSG00000147481	8	q
SNTG1	8	q
ENSG00000104613	8	p
INTS10	8	p
ENSG00000147679	8	q
UTP23	8	q
ENSG00000147535	8	p
PLPP5	8	p
ENSG00000175073	8	q
VCPIP1	8	q
ENSG00000156471	8	q
PTDSS1	8	q
ENSG00000176623	8	q
RMDN1	8	q
ENSG00000147655	8	q
RSPO2	8	q
ENSG00000183808	8	q
RBM12B	8	q
ENSG00000147408	8	p
CSGALNACT1	8	p
ENSG00000158856	8	p
DMTN	8	p
ENSG00000104415	8	q
CCN4	8	q
ENSG00000170961	8	q
HAS2	8	q
ENSG00000164683	8	q
HEY1	8	q
ENSG00000158941	8	p
CCAR2	8	p
ENSG00000184661	8	p
CDCA2	8	p
ENSG00000156162	8	q
DPY19L4	8	q
ENSG00000160932	8	q
LY6E	8	q
ENSG00000164983	8	q
TMEM65	8	q
ENSG00000104689	8	p
TNFRSF10A	8	p
ENSG00000136999	8	q
CCN3	8	q
ENSG00000104695	8	p
PPP2CB	8	p
ENSG00000168487	8	p
BMP1	8	p
ENSG00000175445	8	p
LPL	8	p
ENSG00000104267	8	q
CA2	8	q
ENSG00000164821	8	p
DEFA4	8	p
ENSG00000205133	8	q
TRIQK	8	q
ENSG00000198010	8	p
DLGAP2	8	p
ENSG00000176853	8	q
FAM91A1	8	q
ENSG00000104361	8	q
NIPAL2	8	q
ENSG00000172167	8	q
MTBP	8	q
ENSG00000156482	8	q
RPL30	8	q
ENSG00000167034	8	p
NKX3-1	8	p
ENSG00000104371	8	p
DKK4	8	p
ENSG00000147416	8	p
ATP6V1B2	8	p
ENSG00000185053	8	p
SGCZ	8	p
ENSG00000147475	8	p
ERLIN2	8	p
ENSG00000178209	8	q
PLEC	8	q
ENSG00000169495	8	p
HTRA4	8	p
ENSG00000205002	8	q
AARD	8	q
ENSG00000104231	8	q
ZFAND1	8	q
ENSG00000253250	8	q
C8orf88	8	q
ENSG00000147570	8	q
DNAJC5B	8	q
ENSG00000170323	8	q
FABP4	8	q
ENSG00000288611	8	q
NPBWR1	8	q
ENSG00000147488	8	q
ST18	8	q
ENSG00000155100	8	q
OTUD6B	8	q
ENSG00000147571	8	q
CRH	8	q
ENSG00000104450	8	q
SPAG1	8	q
ENSG00000165061	8	p
ZMAT4	8	p
ENSG00000104218	8	q
CSPP1	8	q
ENSG00000204839	8	q
MROH6	8	q
ENSG00000147650	8	q
LRP12	8	q
ENSG00000137571	8	q
SLCO5A1	8	q
ENSG00000066855	8	q
MTFR1	8	q
ENSG00000181690	8	q
PLAG1	8	q
ENSG00000155097	8	q
ATP6V1C1	8	q
ENSG00000147454	8	p
SLC25A37	8	p
ENSG00000170881	8	q
RNF139	8	q
ENSG00000179388	8	p
EGR3	8	p
ENSG00000137575	8	q
SDCBP	8	q
ENSG00000104432	8	q
IL7	8	q
ENSG00000197217	8	p
ENTPD4	8	p
ENSG00000156172	8	q
CFAP418	8	q
ENSG00000104714	8	p
ERICH1	8	p
ENSG00000180190	8	p
TDRP	8	p
ENSG00000179632	8	q
MAF1	8	q
ENSG00000155792	8	q
DEPTOR	8	q
ENSG00000164749	8	q
HNF4G	8	q
ENSG00000173281	8	p
PPP1R3B	8	p
ENSG00000173535	8	p
TNFRSF10C	8	p
ENSG00000197140	8	p
ADAM32	8	p
ENSG00000133731	8	q
IMPA1	8	q
ENSG00000104332	8	p
SFRP1	8	p
ENSG00000185803	8	q
SLC52A2	8	q
ENSG00000147604	8	q
RPL7	8	q
ENSG00000077782	8	p
FGFR1	8	p
ENSG00000167632	8	q
TRAPPC9	8	q
ENSG00000147536	8	p
GINS4	8	p
ENSG00000158863	8	p
FHIP2B	8	p
ENSG00000168481	8	p
LGI3	8	p
ENSG00000197416	8	q
FABP12	8	q
ENSG00000177669	8	p
MBOAT4	8	p
ENSG00000168079	8	p
SCARA5	8	p
ENSG00000185000	8	q
DGAT1	8	q
ENSG00000197353	8	q
LYPD2	8	q
ENSG00000147654	8	q
EBAG9	8	q
ENSG00000104327	8	q
CALB1	8	q
ENSG00000147592	8	q
LACTB2	8	q
ENSG00000147687	8	q
TATDN1	8	q
ENSG00000104356	8	q
POP1	8	q
ENSG00000067167	8	q
TRAM1	8	q
ENSG00000175606	8	q
TMEM70	8	q
ENSG00000203499	8	q
IQANK1	8	q
ENSG00000082556	8	q
OPRK1	8	q
ENSG00000184156	8	q
KCNQ3	8	q
ENSG00000121005	8	q
CRISPLD1	8	q
ENSG00000154589	8	q
LY96	8	q
ENSG00000179526	8	q
SHARPIN	8	q
ENSG00000164751	8	q
PEX2	8	q
ENSG00000156675	8	p
RAB11FIP1	8	p
ENSG00000164893	8	q
SLC7A13	8	q
ENSG00000160959	8	q
LRRC14	8	q
ENSG00000038945	8	p
MSR1	8	p
ENSG00000169946	8	q
ZFPM2	8	q
ENSG00000120910	8	p
PPP3CC	8	p
ENSG00000172748	8	p
ZNF596	8	p
ENSG00000187955	8	q
COL14A1	8	q
ENSG00000197363	8	q
ZNF517	8	q
ENSG00000104219	8	p
ZDHHC2	8	p
ENSG00000164930	8	q
FZD6	8	q
ENSG00000155189	8	p
AGPAT5	8	p
ENSG00000239839	8	p
DEFA3	8	p
ENSG00000176595	8	p
KBTBD11	8	p
ENSG00000173137	8	q
ADCK5	8	q
ENSG00000181638	8	q
ZFP41	8	q
ENSG00000104237	8	q
RP1	8	q
ENSG00000104522	8	q
GFUS	8	q
ENSG00000171044	8	p
XKR6	8	p
ENSG00000170619	8	q
COMMD5	8	q
ENSG00000155926	8	q
SLA	8	q
ENSG00000155090	8	q
KLF10	8	q
ENSG00000147614	8	q
ATP6V0D2	8	q
ENSG00000104419	8	q
NDRG1	8	q
ENSG00000147669	8	q
POLR2K	8	q
ENSG00000104341	8	q
LAPTM4B	8	q
ENSG00000070501	8	p
POLB	8	p
ENSG00000104671	8	p
DCTN6	8	p
ENSG00000198363	8	q
ASPH	8	q
ENSG00000147316	8	p
MCPH1	8	p
ENSG00000104369	8	q
JPH1	8	q
ENSG00000120963	8	q
ZNF706	8	q
ENSG00000179832	8	q
MROH1	8	q
ENSG00000147804	8	q
SLC39A4	8	q
ENSG00000167653	8	q
PSCA	8	q
ENSG00000177182	8	q
CLVS1	8	q
ENSG00000104763	8	p
ASAH1	8	p
ENSG00000250571	8	q
GLI4	8	q
ENSG00000158669	8	p
GPAT4	8	p
ENSG00000133878	8	p
DUSP26	8	p
ENSG00000186523	8	p
FAM86B1	8	p
ENSG00000104375	8	q
STK3	8	q
ENSG00000165078	8	q
CPA6	8	q
ENSG00000147432	8	p
CHRNB3	8	p
ENSG00000182197	8	q
EXT1	8	q
ENSG00000120907	8	p
ADRA1A	8	p
ENSG00000212993	8	q
POU5F1B	8	q
ENSG00000198042	8	p
MAK16	8	p
ENSG00000155975	8	p
VPS37A	8	p
ENSG00000071894	8	q
CPSF1	8	q
ENSG00000169427	8	q
KCNK9	8	q
ENSG00000147677	8	q
EIF3H	8	q
ENSG00000147533	8	p
GOLGA7	8	p
ENSG00000165156	8	q
ZHX1	8	q
ENSG00000164796	8	q
CSMD3	8	q
ENSG00000129696	8	p
TTI2	8	p
ENSG00000104435	8	q
STMN2	8	q
ENSG00000136997	8	q
MYC	8	q
ENSG00000104313	8	q
EYA1	8	q
ENSG00000169139	8	q
UBE2V2	8	q
ENSG00000092964	8	p
DPYSL2	8	p
ENSG00000104611	8	p
SH2D4A	8	p
ENSG00000136574	8	p
GATA4	8	p
ENSG00000167904	8	q
TMEM68	8	q
ENSG00000189376	8	q
C8orf76	8	q
ENSG00000076641	8	q
PAG1	8	q
ENSG00000167702	8	q
KIFC2	8	q
ENSG00000126233	8	q
SLURP1	8	q
ENSG00000133872	8	p
SARAF	8	p
ENSG00000197275	8	q
RAD54B	8	q
ENSG00000261667	8	q
LY6L	8	q
ENSG00000134014	8	p
ELP3	8	p
ENSG00000147642	8	q
SYBU	8	q
ENSG00000164879	8	q
CA3	8	q
ENSG00000175806	8	p
MSRA	8	p
ENSG00000123908	8	q
AGO2	8	q
ENSG00000164938	8	q
TP53INP1	8	q
ENSG00000186583	8	q
SPATC1	8	q
